"Release Date","Movie","Genre","ProductionBudget","DomesticBox Officeto Date","Trailer"
"January 1","Masha i Medved: novyye druz'ya","Adventure","","$0",""
"","Mister Felicità","Comedy","","$0",""
"January 3","American Beast","","","$0",""
"","Ouija 3: The Charlie Charlie Challenge","Horror","","$0",""
"","Wo Shi Shei","","","$0",""
"January 4","Faut Pas Lui Dire","Comedy","","$0",""
"","The Space Between Us","Drama","","$7,885,294","Play"
"January 5","Arise from Darkness","Horror","","$6,112",""
"","The Bronx Bull","Drama","","$0",""
"January 6","10,000 Miles","Drama","","$0",""
"","À fond","Comedy","","$0",""
"","Accidental Courtesy: Daryl Davis, Race & America","Documentary","","$1,940",""
"","Arsenal","Action","","$0",""
"","Between Us","Drama","","$0",""
"","The Catch","Comedy","","$0",""
"","Contratiempo","Thriller/Suspense","","$0",""
"","Cruzeiro Seixas - As cartas do rei Artur","Documentary","","$0",""
"","Delirio em Las Vedras","Comedy","","$0",""
"","A Different American Dream","Documentary","","$1,172",""
"","Die Dunkle Seite des Mondes","Thriller/Suspense","","$0",""
"","Fallen","Drama","","$0",""
"","Les fausses confidences","Drama","","$0",""
"","German Concentration Camps Factual Survey","Documentary","","$4,468",""
"","Hickey","","","$0",""
"","Khaidi No. 150","Action","","$0",""
"","Lost & Found","Adventure","","$0",""
"","Met Opera: Nabucco","Concert/Performance","","$0",""
"","Mimosas","Drama","","$0",""
"","Retake","Drama","","$0",""
"","RSC Live 2017 The Tempest  (Theatre)","Concert/Performance","","$0",""
"","Sardar Saab","Drama","","$0",""
"","Whisky Galore","Romantic Comedy","","$0",""
"","Zeus","Drama","","$0",""
"January 9","Seven Years-Journalism without Journalist","Documentary","","$0",""
"January 10","An Act of Love","Documentary","","$0",""
"","Apple of my Eye","","","$0",""
"","Confidential Assignment","","","$475,618",""
"","The Night is Young","Romantic Comedy","","$0",""
"","Ostwind","","","$0",""
"","The Summoning","Thriller/Suspense","","$0",""
"January 11","Sleepless","Thriller/Suspense","","$20,783,704","Play"
"January 12","Bastard","Horror","","$0",""
"","Brimstone","Thriller/Suspense","","$0",""
"","The King","Drama","","$0",""
"","Ttureu, ithyeojin Kkumui Gieok","Documentary","","$0",""
"January 13","Amžinai kartu","Drama","","$0",""
"","Attack of the Lederhosen Zombies","","","$0",""
"","Backkom Bear: Agent 008","Adventure","","$0",""
"","Bairavaa","Action","","$0",""
"","The Book of Love","Drama","","$0",""
"","The Bye Bye Man","Thriller/Suspense","$7,400,000","$22,395,806","Play"
"","Claire in Motion","Drama","","$0",""
"","The Crash","Thriller/Suspense","","$0",""
"","Don't Knock Twice","Horror","","$0",""
"","Enas Allos Kosmos","Drama","","$60,298",""
"","Felak","Horror","","$0",""
"","Gautamiputra Satakarni","Drama","","$0",""
"","Go North","Thriller/Suspense","","$0",""
"","Hep Yek 2","Comedy","","$0",""
"","Romeo and Juliet - La Scala 2017 (Ballet)","Concert/Performance","","$0",""
"","Looking For Infinity: El Camino","Documentary","","$0",""
"","Ma","","","$0",""
"","Mostly Sunny","Documentary","","$4,046",""
"","Ok Jaanu","Drama","","$355,922",""
"","Pitchfork","Horror","","$0",""
"","Proyecto Lazaro","Drama","","$0",""
"","Rammstein in Amerika","Concert/Performance","","$0",""
"","Rara","Drama","","$0",""
"","Relève: Histoire d'une création","Documentary","","$5,454",""
"","Sarvann","","","$0",""
"","Saving Banksy","Documentary","","$45,585",""
