"Release.Date","Movie","Genre","ProductionBudget","DomesticBox.Officeto.Date","Trailer","Year"
"January 1","A Farewell To Arms","","$5,000,000","$11,000,000",NA,"1957"
"","Gunfight at the O.K. Corral","","","$11,750,000",NA,"1957"
"","Island in the Sun","","","$8,000,000",NA,"1957"
"","Peyton Place","","","$25,600,000",NA,"1957"
"","The Pride and the Passion","","","$8,750,000",NA,"1957"
"February 1","The Young Stranger","","","$0",NA,"1957"
"March 11","Le ballon rouge","Drama","","$230,807",NA,"1957"
"April 13","12 Angry Men","Drama","$340,000","$0",NA,"1957"
"June 13","The Prince and the Showgirl","","","$1,600,000",NA,"1957"
"June 19","I was a Teenage Werewolf","","","$2,000,000",NA,"1957"
"August 3","Band of Angels","Drama","","$0",NA,"1957"
"October 1","Jailhouse Rock","","","$4,000,000",NA,"1957"
"October 4","Les Girls","","","$2,750,000",NA,"1957"
"October 7","Le mystère Picasso","Documentary","","$50,253",NA,"1957"
"December 5","Sayonara","","","$26,300,000",NA,"1957"
"December 18","The Bridge on the River Kwai","Drama","$3,000,000","$33,300,000",NA,"1957"
"December 31","Raintree Country","","","$0",NA,"1957"
